Department Code,Department Name
218,Cline Ctr for Adv Social Rsrch
220,Materials Research Lab
223,University Laboratory HS
227,Engineering Administration
231,Institute for Genomic Biology
233,Student Affairs Technology
234,Web Services
236,General & Unassigned
238,Inst of Communications Rsch
239,Coordinated Science Lab
241,Anthropology
243,Public Affairs
244,Physics
246,Computational Science & Engr
249,Vet Med College-Wide Programs
251,Civil & Environmental Eng
253,Atmospheric Sciences
255,Veterinary Teaching Hospital
257,Mathematics
260,Finance
262,Krannert Center
265,"Sch Earth, Soc, Environ Admin"
269,Principal's Scholars Pgm
270,Housing Division
273,Engr Shared Admin Services
276,Center for Writing Studies
279,Office of the Dean of Students
280,Ofc VC Inst Advancement
282,Pathobiology
283,Strategic Marketing Branding
292,Evolution Ecology Behavior
293,Parking Department
296,State Farm Center
298,Division of Animal Resources
299,Psychology
303,African American Studies
305,Fire Service Institute
317,Enrollment Mgmt Shared Svcs
320,Supercomputing Applications
321,Aux. Health/WB Marketing
324,Sociology
325,Action Learning
327,Humanities Research Institute
330,Gies Advancement
332,Prairie Research Institute
335,Education Administration
336,Intercollegiate Athletics
337,Siebel Center for Design
342,Ag Ldrshp Educ Comm Program
343,Bioengineering
344,Protection of Research Subject
345,European Union Center
346,Accountancy
348,ACES Info Tech & Cmc Svcs
353,Obstetrics and Gynecology
358,Special Events
361,Entomology
362,E. Asian Languages & Cultures
370,OVCRI Admin
375,IL Natural History Survey
377,Plant Biology
383,School of Integrative Biology
384,Cooperative Extension
385,Conference Services
389,Illini Union
391,The Career Center
392,Beckman Institute
394,Business Community Econ Dev
395,News Bureau
400,Disruption and Innovation
404,Asian American Studies
405,Economics
407,Lemann Center
408,Advertising
409,Inst Animal Care & Use Cmte
413,Chemistry
415,School of Molecular & Cell Bio
417,IPM Administration
418,Bureau Educational Research
422,Industrial&Enterprise Sys Eng
429,Osher Lifelong Learning Inst
430,Astronomy
431,Provost/VCAA Admin
433,Office for Access and Equity
434,Computer Science
436,Media and Cinema Studies
438,Biochemistry
441,Appl Tech Learning Arts & Sciences
444,Vet Medicine Administration
447,Fine & Applied Arts Admin
451,History
454,Applied Research Institute
459,Student Success and Engagement
461,Center for African Studies
468,Informatics
470,Agr & Consumer Economics
482,Global Education & Training
483,"Agr, Consumer, & Env Sci Admn"
486,Graduate Admin
487,Micro and Nanotechnology Lab
489,Communication
490,Religion
491,Family Medicine
495,Music
499,English
502,IL State Archaeological Survey
504,Employee Development and Learning
508,"Inst for Sustain, Enrgy, & Env"
510,School of Chemical Sciences
514,Classics
515,Surgery
516,Medical Information Science
520,Interdis Health Sci Institute
521,ADM Institute for PHL
526,Art & Design
531,Biotechnology Center
533,Illinois Abroad
535,Center for Global Studies
538,Animal Sciences
540,Library Admin
541,Council Teacher Ed Admin
547,IL State Geological Survey
549,Psychiatry
550,Allerton Park & Retreat Center
551,McKinley Health Center
552,Pathology
553,"Russian,E European,Eurasn Ctr"
559,Business Online Programs
563,Global Studies Prog & Courses
564,IPM Delivery
568,School of Labor & Empl. Rel.
569,Landscape Architecture
570,Special Education
571,Division of Campus Recreation
573,Student Conflict Resolution
575,Police Training Institute
577,American Indian Studies Prgrm
580,LAS Administration
581,Kinesiology & Community Health
583,Statistics
584,Cell & Developmental Biology
585,Spanish and Portuguese
593,Undergraduate Admissions
594,Vice Chancellor for Diversity
598,Vet Clinical Medicine
600,Library Research & Publication
602,Engineering General Expen
604,Molecular & Integrative Physl
607,Krannert Art Museum
611,Illini Center
612,Agr Animal Care & Use Program
613,Curriculum and Instruction
615,Aerospace Engineering
616,Educational Psychology
618,Ofc of the Chief Info Officer
623,Ctr Wounded Veterans Higher Ed
625,"Sch Lit, Cultures, Ling Adm"
626,Center for Advanced Study
629,UIUC Purchasing CMO
630,Illinois Human Resources
631,Illinois International
635,Illinois Leadership Center
641,Center Innov in Teach Learn
642,Journalism
647,IPM Development
652,Program in Medieval Studies
655,Geology
658,Office of Corporate Relations
659,IPM Content Production
661,Engineering IT Shared Services
664,Division of Public Safety
668,Library
679,Speech & Hearing Science
680,Gender and Women's Studies
681,Sponsored Programs Admin
682,Applied Health Sciences Admin
684,Internal Medicine
687,Chemical & Biomolecular Engr
692,Medical District Vet Clinic
693,Willard Airport Commercial Op
694,Law Library
695,Counseling Center
696,Office of Proposal Development
698,Food Science & Human Nutrition
700,Office of the Chancellor
701,Facilities and Services
703,Student Health Insurance
708,IPM Content Information
710,Political Science
711,I-STEM Education Initiative
714,"Recreation, Sport and Tourism"
715,Philosophy
720,Illinois Business Consulting
723,Prg in Jewish Culture &Society
726,Veterinary Diagnostic Lab
727,Information Trust Institute
729,Latin American & Carib Studies
733,Urban & Regional Planning
736,Center Advising & Acad Svcs
740,IL State Water Survey
741,Agricultural & Biological Engr
743,Minority Student Affairs
747,Gies Mktg & Communications
749,Campus Research IT
759,Campus Honors Program
760,"Educ Policy, Orgzn & Leadrshp"
761,Medicine at UC Admin
767,Architecture
768,Cancer Center at Illinois
771,Comparative & World Literature
783,School of Social Work
787,Translation & Interpreting St
793,Human Dvlpmt & Family Studies
794,Intl Student and Scholar Svcs
795,Library Collections/Support
798,Technology Services
801,Dance
802,Crop Sciences
807,IL Sustainable Technology Ctr
822,Inclusion & Intercultural Rels
825,VC Student Affairs
826,Ctr Business & Public Policy
847,IT Partners Gies Business
853,Law
855,Technology Entrepreneur Ctr
859,Clinical Sciences
860,TS IT Service Delivery
861,Biomed & Translational Sci
862,Energy Services Administration
864,Linguistics
870,Biophysics & Quant Biology
872,Geography & Geographic InfoSci
873,Comparative Biosciences
875,Natural Res & Env Sci
877,Division of Research Safety
880,eLearning
883,Theatre
895,Spurlock Museum
898,Office of the Registrar
902,Business Administration
906,Academy Entrepreneurial Ldrshp
917,Mechanical Sci & Engineering
918,"Ctr Health, Aging, Disability"
919,Materials Science & Engineerng
920,LAS General Expen
925,Unit For Criticism
927,Germanic Languages & Lit
930,Title IX Office
932,E Asian & Pacific Studies Cntr
933,Electrical & Computer Eng
934,College of Media Admin
936,Gies Undergraduate Affairs
940,Safety and Compliance
943,Disability Res & Educ Svcs
944,Carle IL COM Administration
945,Pediatrics
948,Microbiology
952,Gies College of Business
953,IPM Content Programming
954,Ctr S. Asian & MidEast Studies
958,Slavic Languages & Literature
959,EnterpriseWorks
962,Div of Management Information
968,Neuroscience Program
970,Big Ten Academic Alliance
971,Nutritional Sciences
972,Student Financial Aid-Admin
973,"Nuclear, Plasma, & Rad Engr"
974,Armed Forces Coordinator
979,Gies Business Career Services
980,Faculty/Staff Assistance Svcs
982,Latina/Latino Studies
984,Intensive English Institute
985,French and Italian
992,Information Sciences
